"Bifidobacterium","percent_studies","n_studies"
"Bifidobacterium_longum",89.344262295082,109
"Bifidobacterium_adolescentis",75.4098360655738,92
"Bifidobacterium_pseudocatenulatum",59.8360655737705,73
"Bifidobacterium_bifidum",46.7213114754098,57
"Bifidobacterium_dentium",20.4918032786885,25
"Bifidobacterium_breve",11.4754098360656,14
"Bifidobacterium_catenulatum",11.4754098360656,14
"Bifidobacterium_animalis",5,6
"Bifidobacterium_angulatum",4.0983606557377,5
"Bifidobacterium_ruminantium",1.63934426229508,2
"Bifidobacterium_asteroides",0.819672131147541,1
"Bifidobacterium_boum",0.819672131147541,1
"Bifidobacterium_choerinum",0.819672131147541,1
"Bifidobacterium_indicum",0.819672131147541,1
"Bifidobacterium_pseudolongum",0.819672131147541,1
"Bifidobacterium_pullorum",0.819672131147541,1
"Bifidobacterium_saguini",0.819672131147541,1
"Bifidobacterium_actinocoloniiforme",0,0
"Bifidobacterium_anseris",0,0
"Bifidobacterium_aquikefiri",0,0
"Bifidobacterium_biavatii",0,0
"Bifidobacterium_bohemicum",0,0
"Bifidobacterium_bombi",0,0
"Bifidobacterium_callitrichos",0,0
"Bifidobacterium_coryneforme",0,0
"Bifidobacterium_crudilactis",0,0
"Bifidobacterium_cuniculi",0,0
"Bifidobacterium_gallicum",0,0
"Bifidobacterium_magnum",0,0
"Bifidobacterium_merycicum",0,0
"Bifidobacterium_minimum",0,0
"Bifidobacterium_mongoliense",0,0
"Bifidobacterium_moukalabense",0,0
"Bifidobacterium_psychraerophilum",0,0
"Bifidobacterium_reuteri",0,0
"Bifidobacterium_scardovii",0,0
"Bifidobacterium_simiae",0,0
"Bifidobacterium_stellenboschense",0,0
"Bifidobacterium_subtile",0,0
"Bifidobacterium_thermacidophilum",0,0
"Bifidobacterium_thermophilum",0,0
"Bifidobacterium_tsurumiense",0,0
